id;price;msrp_price;original_price;good_offer;seller_rating;seller_count_rating;car_rate;consumers_review;n_photos;City MPG;Drivetrain;Engine;Exterior Color;Fuel Type;Highway MPG;Interior Color;Mileage;Stock;Transmission;VIN
8-764236169;$22,035;$22,035;;;4;512;4.8;151 reviews;3;25;FWD;2.5L I4 16V GDI DOHC;Deep Crystal Blue;Gasoline;34;Black;2;M19020;6-Speed Automatic;3MZBN1V35JM274714
226-755382748;$56,535;$56,535;;;4.8;937;5;3 reviews;3;21;AWD;Straight 6 Cylinder Engine 3.0L;Jet Black;Gasoline;31;Black Dak Lthr w/ Oyster hglgt;5;16021;8-Speed A/T;WBA4J7C55KBM75632
321-765557427;$28,995;;;Good Deal;4.9;623;4.6;35 reviews;24;18;4WD;3.6L V6 24V GDI DOHC;Pacific Blue Metallic;Gasoline;25;Jet Black;13,358;11921;8-Speed Automatic;1GCGTCEN4K1109828
483-766994499;$39,993;;;Great Deal;4.9;377;4.8;30 reviews;32;15;4WD;5.3L V8 16V GDI OHV;Black;Gasoline;22;Jet Black;29,421;UN9691;6-Speed Automatic;1GNSKHKC3JR346072
387-763897398;$28,896;;;Good Deal;2.7;33;4.5;22 reviews;27;;AWD;Turbocharged Gas I4 2.0L/122;Phantom Gray Metallic;Gasoline;;Jet Black with Jet Black Accents;11,553;U5923;6-Speed Automatic;1G6AX5SX2G0129782
79-765430701;$28,508;$33,610;$29008;;2.3;14;5;5 reviews;22;43;FWD;Gas/Electric I-4 2.0 L/122;Blue Metallic;Hybrid;41;Ebony;10;A20596;Variable;3FA6P0MU3KR158635
356-762240678;$34,196;$37,665;;;3;37;5;6 reviews;17;20;AWD;3.5L 6-Cylinder;Gun Metallic;Gasoline;28;Graphite;9;19317N;CVT with Xtronic;5N1AZ2MS9KN107650
342-765951125;$46,995;;;Fair Price;4.8;723;4.8;36 reviews;32;24;AWD;2.0L I4 16V PDI DOHC Turbo;Lunar White;Gasoline;31;Graphite;6,082;IU5058;Automatic CVT;3PCAJ5M34KF100898
458-763845376;$16,496;;;Fair Price;4.7;83;4.8;112 reviews;34;26;FWD;2.5L I4 16V GDI DOHC;Deep Crystal Blue Mica;Gasoline;35;Almond;57,026;11383P;6-Speed Manual;JM1BM1M37F1244044
157-762402559;$36,799;$42,980;;;4.9;221;4.8;65 reviews;4;;4x4;3.6-Liter V6 24-Valve VVT Engine;Velvet Red Pearlcoat;Gasoline;;Black;0;24540;8-Speed Automatic Transmission;1C4RJFAG5KC666520
411-766984385;$60,656;;;Good Deal;4.9;623;4.6;18 reviews;1;15;4WD;5.3L V8 16V GDI OHV;Black;Gasoline;22;Jet Black;12,532;11969;6-Speed Automatic;1GNSKCKCXKR107414
90-759017079;$64,335;$64,335;;;4.8;3688;4.2;6 reviews;26;23;AWD;2.0L I4 16V GDI DOHC Turbo;Bluestone Metallic;Gasoline;33;Black;0;19658;8-Speed Automatic;WBAJA7C5XKWW12656
375-767532241;$17,000;;$18500;Great Deal;4.4;38;4.6;76 reviews;32;;4WD;5.7L V8 32V MPFI DOHC;Gray;Gasoline;;Graphite;81,070;S507857A;6-Speed Automatic;5TBBV54138S507857
217-765497433;$28,175;$28,175;;;4.7;619;4.6;42 reviews;7;25;AWD;2.5L I4 16V GDI DOHC;Gun Metallic;Gasoline;35;Sport Interior;6;KN320420;Automatic CVT;1N4BL4CW5KN320420
148-750470464;$32,098;$39,080;$32598;;4.8;1189;4.8;21 reviews;10;19;FWD;3.6L V6 24V MPFI DOHC;Brilliant Black Crystal Pearlcoat;Gasoline;28;Black;2;K244;9-Speed Automatic;2C4RC1BG0KR541251
150-759228964;$30,940;$30,940;;;4.7;8800;4.4;33 reviews;3;22;4WD;2.4L I4 16V MPFI SOHC;Laser Blue;Gasoline;31;Black;6;678830;9-Speed Automatic;3C4NJDCB2KT678830
203-754160176;$23,395;$23,395;;;2.7;77;4.9;459 reviews;3;31;FWD;1.5L I4 16V GDI DOHC Turbo;White Orchid Pearl;Gasoline;42;;10;00381959;Automatic CVT;JHMFC1F39JX039038
201-749275893;$36,675;$38,605;;;3.6;33;4.7;168 reviews;3;19;FWD;3.6L V6 24V MPFI DOHC Flexible Fuel;Bright White;E85 Flex Fuel;28;Black;0;C29033S;9-Speed Automatic;2C4RC1BG6JR331235
311-766683338;$35,711;;;Good Deal;4.7;1044;4.3;22 reviews;32;24;AWD;2.0L I4 16V GDI DOHC Turbo;Black Obsidian;Gasoline;33;Graphite;4,368;3443U;7-Speed Automatic with Auto-Shift;SJKCH5CR7JA003502
210-755382451;$38,559;$44,260;;;4.7;1694;4.4;5 reviews;3;20;4WD;Regular Unleaded V-6 3.5 L/213;Brilliant Metallic;Gasoline;27;Charcoal;0;NS21470;1-Speed CVT w/OD;5N1DR2MM2KC588206
34-764817745;$35,205;$35,205;;;4.9;3601;4.6;67 reviews;23;19;FWD;3.5L V6 24V GDI SOHC;Modern Steel Metallic;Gasoline;28;Gray;10;KH190931;9-Speed Automatic;5FNRL6H52KB081640
471-760820091;$52,325;$52,325;;;4.8;1346;5;2 reviews;;19;AWD;300-hp 3.0-liter V6 twin-turbo (PURE/PURE AWD & LUXE/LUXE AWD);Majestic White;Gasoline;27;Graphite;0;191038;7-Speed A/T;JN1EV7EL2KM290100
150-762639382;$29,080;$29,080;;;4.6;134;4.9;14 reviews;3;51;FWD;2.5L I4 16V PDI DOHC Hybrid;Midnight Black Metallic;Hybrid;53;Black;0;HT4042AF;Automatic CVT;4T1B31HKXKU512111
286-767440852;$31,549;$32,049;;;4.8;697;4.5;62 reviews;4;26;AWD;2.5L I4 16V PDI DOHC;Lunar;Gasoline;35;Light Gray;0;T1349;8-Speed Automatic;JTMP1RFV6KD513008
161-766660771;$70,216;;;;2.1;43;3;2 reviews;10;21;4WD;2.0L I4 16V GDI DOHC Turbo;Santorini Black Metallic;Gasoline;27;Ebony;0;KA218779;8-Speed Automatic;SALYL2EX2KA218779
233-748396946;$31,895;$31,895;;;4.3;452;4.4;33 reviews;3;;4WD;2.4L I4 16V MPFI SOHC;Crystal Metallic;Gasoline;;Black;12;CHK0586;9-Speed Automatic;3C4NJDBB8KT619668
332-765480774;$22,900;;;Good Deal;4.8;1521;4.8;105 reviews;23;16;4WD;Regular Unleaded V-6 3.6 L/220;Anvil Clearcoat;Gasoline;21;Black;73,483;HY6816;5-Speed Automatic w/OD;1C4BJWDG4FL683019
358-765868809;$40,140;$40,140;;;4.9;1007;5;1 reviews;32;24;AWD;Intercooled Turbo Premium Unleaded I-4 2.0 L/121;Polar White;Gasoline;35;Macchiato Beige;23;KW006636;7-Speed Auto-Shift Manual w/OD;WDD3G4FB9KW006636
70-763256485;$28,540;;;;4.9;3640;5;32 reviews;25;30;FWD;1.5L I4 16V GDI DOHC Turbo;Lunar Silver Metallic;Gasoline;38;Black;10;PH191893;Automatic CVT;1HGCV1F45KA049353
132-765553808;$47,085;$47,085;;;3.3;113;4.2;42 reviews;15;22;AWD;2.0L I4 16V GDI DOHC Turbo;Glacier Silver Metallic;Gasoline;29;Black;0;KLP86196;8-Speed Automatic;5UXTR9C55KLP86196
453-757646437;$9,994;;;Fair Price;4.9;1098;4.6;290 reviews;23;27;FWD;4 Cylinder;Pearl White;Gasoline;38;Charcoal;102,981;22021;CVT;1N4AL3AP2FC155395
412-761007530;$79,600;$79,600;;;4.9;300;5;3 reviews;1;17;AWD;3.0L V6 24V GDI DOHC Twin Turbo;Lunar Blue Metallic;Gasoline;22;Beige;6;C190824;9-Speed Automatic;4JGED6EB5KA142473
465-766701582;$30,270;;;Good Deal;4.6;91;4.6;62 reviews;10;;;2.0L 4 cyl;White 149;Gasoline;;;16,713;8458CP;7-Speed A/T;55SWF4KB3GU098515
226-759930883;$30,130;$33,130;$30630;;4.3;10;4.9;37 reviews;5;23;4WD;1.5L I4 16V GDI DOHC Turbo Flexible Fuel;Lightning Blue;E85 Flex Fuel;30;Charcoal Black;0;19T0104;6-Speed Automatic;1FMCU9HD5KUA57704
454-733396752;$38,517;$38,517;;;4.8;46;4.5;2 reviews;;19;RWD;2.0L I4 16V GDI DOHC Turbo;Black;Gasoline;23;Black;Not provided;J3442286;7-Speed Automatic;WD4PG2EE5J3442286
404-757320054;$82,660;$82,660;;;4.6;91;5;3 reviews;;;AWD;Twin Turbo Premium Unleaded V-6 3.0 L/183;Designo Diamond White Metallic;Gasoline;;;7;57140;9-Speed Automatic w/OD;4JGED6EB3KA139796
206-756982815;$34,570;$39,575;$35070;;4.8;1357;4.8;21 reviews;3;19;FWD;3.6L V6 24V MPFI DOHC;Brilliant Black Crystal Pearlcoat;Gasoline;28;Black;21;1938031;9-Speed Automatic;2C4RC1BGXKR589744
413-764433094;$21,980;;;Good Deal;4.4;1887;4.9;316 reviews;31;22;4WD;2.4L I4 16V MPFI SOHC;Diamond Black;Gasoline;31;Black;16,282;R28040;9-Speed Automatic;1C4PJMLB1KD194520
53-766245546;$40,893;$42,405;;;5;131;4.5;42 reviews;11;21;AWD;3.6L V6 24V;Ebony Twilight Metallic;Gasoline;25;Jet Black;37;19G1284S;6-Speed Automatic;1GKKNSLS2KZ229074
480-767017676;$19,990;;;Great Deal;4.8;1098;4.5;46 reviews;29;;AWD;2.0L I4 16V GDI DOHC Turbo;Brilliant Black;Gasoline;;Chestnut Brown;33,014;24706;6-Speed Automatic with Auto-Shift;WAUE8GFF3G1069219
48-744615126;$25,734;$27,747;;;4.5;1374;4.7;639 reviews;19;29;FWD;2.5L I4 16V PDI DOHC;Celestial Silver Metallic;Gasoline;41;Ash;12;40773;8-Speed Automatic;4T1B11HK8JU641789
70-758761254;$62,410;$62,910;;;4.9;869;4.8;6 reviews;11;;quattro;Intercooled Turbo Premium Unleaded I-4 2.0 L/121;Samurai Gray Metallic;Gasoline;;Black;12;PA219123;8-Speed Automatic w/OD;WA1LHAF72KD017212
232-757175534;$38,185;$38,185;;;3.6;33;4.8;21 reviews;3;19;FWD;3.6L V6 24V MPFI DOHC;Silver;Gasoline;28;Black;0;C29607;9-Speed Automatic;2C4RC1BG0KR606003
269-758344011;$45,918;$49,110;;;5;18;5;1 reviews;17;;AWD;Turbo/Supercharger Premium Unleaded I-4 2.0 L/120;Pebble Gray;Gasoline;;Bld Leather;1,787;V001901;Automatic;7JRA22TK4KG001901
136-758609968;$25,250;$28,180;;;4.3;730;5;5 reviews;9;18;FWD;3.3L 6-Cylinder;Silky Silver;Gasoline;24;Gray;5;G10437;8-Speed Automatic;KNDMA5C19K6515501
457-762891835;$29,935;$30,935;;;3.4;10;4.6;5 reviews;16;16;4WD;4.0L V6;Glacier White;Gasoline;23;Steel;17;19008;Automatic 5-Speed;1N6AD0EV2KN702952
189-762142852;$26,300;$34,275;;;3.1;144;4.9;316 reviews;6;;4WD;Intercooled Turbo Premium Unleaded I-4 2.0 L/122;Billet Silver Metallic Clearcoat;Gasoline;;Black;0;1903939;9-Speed Automatic w/OD;1C4PJMLN5KD354473
65-757317920;$38,675;$42,742;;;4.8;2227;4.4;87 reviews;18;20;AWD;3.5L V6 24V PDI DOHC;Predawn Gray Mica;Gasoline;26;Ash;5;FT190684;8-Speed Automatic;5TDJZRFH4KS574354
155-766322536;$48,900;$48,900;;;4.3;18;4.3;30 reviews;20;;4WD;5.3L V8 16V GDI OHV;Summit White;Gasoline;;;0;19315;8-Speed Automatic;1GCRYDED0KZ271481
266-767095932;$17,998;;;Good Deal;4.8;697;4.7;75 reviews;17;51;FWD;1.8L I4 16V MPFI DOHC Hybrid;White;Hybrid;48;Black;45,039;U36689;Automatic CVT;JTDKN3DU0F0402618
243-758151225;$45,924;;;;4.1;1122;4.8;25 reviews;3;16;4WD;Twin Turbo Premium Unleaded V-6 3.5 L/213;Agate Black Metallic;Gasoline;22;Ebony;34;14978;6-Speed Automatic w/OD;1FM5K8GT4KGA66944
267-767168327;$33,307;$33,807;;;4.8;697;4.5;62 reviews;4;26;AWD;2.5L I4 16V PDI DOHC;Silver Sky Metallic;Gasoline;35;Black;1;T1182;8-Speed Automatic;JTMP1RFV7KD507346
27-759075371;$30,655;$30,655;;;4.6;663;4.7;30 reviews;21;21;AWD;Regular Unleaded I-4 2.4 L/144;Aqua Blue;Gasoline;26;Black;10;190177N;6-Speed Automatic w/OD;KM8J3CAL4KU890578
477-764232079;$46,985;$48,735;;;4.9;2487;;;23;25;AWD;Intercooled Turbo Premium Unleaded I-4 2.0 L/122;Mineral White Metallic;Gasoline;34;Blak Sensatec;12;WM19213;8-Speed Automatic w/OD;WBA5R7C53KAJ78717
407-743094003;$53,925;$56,770;;;4.9;2487;5;4 reviews;18;23;AWD;Intercooled Turbo Premium Unleaded I-4 2.0 L/122;Alpine White;Gasoline;33;Coral Red/Black;12;WM19028;8-Speed Automatic w/OD;WBA4W5C51KAE49527
95-764926175;$27,050;$27,050;;;4.7;619;5;1 reviews;7;25;AWD;2.0L I4 16V GDI DOHC;Magnetic Black;Gasoline;32;Charcoal;6;KW622760;Automatic CVT;JN1BJ1CR8KW622760
195-765858043;$25,885;$25,885;;;4.7;351;4.5;116 reviews;5;27;FWD;1.0L I3 12V GDI DOHC Turbo;White Platinum Tri-Coat Metallic;Gasoline;29;Medium Light Stone;Not provided;181101;6-Speed Automatic;MAJ3P1TEXJC242791
96-757858960;$22,194;$23,535;;;4.8;1046;4.8;151 reviews;8;25;FWD;Regular Unleaded I-4 2.5 L/152;Deep Crystal Blue Mica;Gasoline;34;Black;0;J9265190;6-Speed Automatic w/OD;3MZBN1V37JM265190
358-764534605;$48,140;$48,640;;;4.8;766;4.8;20 reviews;4;20;4WD;5.0L V8 32V PDI DOHC;Oxford White;Gasoline;25;Black;7;T9245;Automatic;1FTEW1E52KKC64214
454-766896717;$9,999;;$10777;Great Deal;4;39;5;2 reviews;27;128;FWD;Electric;Silver Ice Metallic;Electric;109;Electric Blue;14,621;1564U;1-Speed Automatic;KL8CK6S06FC818839
13-763133731;$32,145;$32,145;;;4.9;889;4.6;5 reviews;6;23;FWD;4 Cylinder Engine 2.0L;Pepper White;Gasoline;32;Carbon Black Leatherette;0;10397M;AUTOMATIC;WMWXU3C5XK2H88580
309-766824135;$10,990;;;Good Deal;4.8;2912;4.1;14 reviews;29;23;4WD;2.4L I4 16V MPFI DOHC;Quartz Brown Metallic;Gasoline;28;;77,922;TWTP3804A;Automatic CVT;JA4JT3AW3CU025272
331-758230811;$15,995;;;Good Deal;4.4;119;3.8;4 reviews;29;;FWD;Regular Unleaded V-6 3.5 L/213;Gun Metallic;Gasoline;;Gray;43,725;UR7099;1-Speed CVT w/OD;JN8AE2KP3H9165189
