id;price;msrp_price;original_price;good_offer;seller_rating;seller_count_rating;car_rate;consumers_review;mileage;n_photos
759100147.html;30980;;;Good Deal;4.8;39;4.8;211 reviews;7,958;27
745557419.html;50010;;;;4.6;409;4.7;82 reviews;35;12
752611490.html;25709;28825;;;5;68;4.8;82 reviews;3;11
763850665.html;71030;71030;;;4.9;482;4.7;23 reviews;2;19
764566539.html;55400;55400;;;4.7;24;4.3;30 reviews;;20
767323081.html;44995;;;Great Deal;4.8;1086;4.8;70 reviews;38,956;41
766428111.html;15891;;;Great Deal;4.9;115;4.8;79 reviews;53,164;40
748634134.html;52160;52160;;;4.9;475;4.3;30 reviews;27;14
761087192.html;17724;18380;;;5;19;4.8;15 reviews;5;32
766120405.html;23384;27990;;;4.7;176;4.9;50 reviews;11;21
763595667.html;24000;;;Good Deal;5;303;4.7;202 reviews;54,871;32
763048200.html;19674;19880;;;4.8;237;4.4;21 reviews;7;21
731372753.html;38185;46655;;;5;23;4.6;21 reviews;10;15
766367917.html;52600;;54600;Good Deal;4.6;289;4.7;14 reviews;1,331;29
765128259.html;16588;;;Good Deal;4.6;262;4.8;564 reviews;24,010;38
766084211.html;19495;;19995;Great Deal;4.8;1086;4.7;298 reviews;32,897;40
765009138.html;25992;;;Good Deal;4.9;162;4.9;464 reviews;20,761;32
759748682.html;27075;27075;;;5;932;5;32 reviews;11;11
750318759.html;36516;41256;;;4.7;417;4.7;44 reviews;3;32
757477982.html;27187;32365;;;4.7;114;4.6;164 reviews;2;11
754843935.html;28892;29740;;;5;169;4.6;5 reviews;11;20
765339602.html;37315;41886;;;4.7;417;4.4;87 reviews;3;32
766555456.html;19887;;;Good Deal;4.9;475;4.7;100 reviews;22,574;21
763276074.html;39675;;;Good Deal;4.8;39;4.8;61 reviews;44,050;32
763658196.html;27135;27990;;;5;18;4.9;37 reviews;6;27
759325123.html;26119;30560;;;5;19;4.6;22 reviews;3;32
766540166.html;22981;;;Good Deal;4.8;1057;4.8;54 reviews;32,981;43
741595493.html;23310;28310;;;4.8;1125;4.9;316 reviews;;32
751237490.html;29440;;;Good Deal;4.7;359;4.2;13 reviews;37,352;56
753976098.html;49180;49180;;;4.9;475;4.3;30 reviews;3;15
766427504.html;21995;;;Great Deal;4.8;1086;4.8;41 reviews;36,354;42
763066667.html;28204;29745;;;4.3;67;4.7;25 reviews;5;31
760166517.html;28242;32275;;;4.6;262;4.8;20 reviews;10;15
767333463.html;19477;;;Good Deal;4.7;359;4.6;164 reviews;19,397;49
764023146.html;32588;;;Good Deal;4.6;262;4.6;217 reviews;77,220;40
748365615.html;18901;;;Great Deal;4.1;104;4.8;121 reviews;93,226;32
748957059.html;35711;38075;;;4.6;262;4.8;135 reviews;145;14
757055516.html;28067;29585;;;4.3;67;4.7;25 reviews;5;26
750161871.html;84270;84270;;;4.9;599;5;5 reviews;11;32
767368052.html;19990;;;Great Deal;4.5;761;4.4;24 reviews;37,323;39
764704009.html;43865;;;;4.6;409;4.7;82 reviews;4;19
748564272.html;31020;40080;31993;;-1;-1;4.6;41 reviews;5;28
765695263.html;27494;;;Good Deal;4.8;1086;4.8;49 reviews;19,187;41
749612040.html;35999;44030;36599;;5;25;4.6;35 reviews;4;25
763464538.html;33222;34870;;;5;169;4.6;22 reviews;;21
766651511.html;59491;;;Good Deal;4.8;49;4.8;40 reviews;26,551;20
765658063.html;42910;45635;;;5;6;4.6;63 reviews;1;23
757238415.html;51850;;;;4.9;589;4.8;20 reviews;20;19
754654523.html;18801;;;Good Deal;4.8;416;4.8;218 reviews;22,138;25
762538358.html;20970;;;Good Deal;5;99;4.5;35 reviews;59,848;32
761447825.html;18495;;18995;Good Deal;4.8;1086;4.8;145 reviews;46,098;44
755118074.html;25944;;;Good Deal;4.8;416;4.6;217 reviews;44,701;27
755306206.html;59259;65445;;;4.1;104;4.9;10 reviews;6;21
760403921.html;10950;;;Good Deal;5;22;4.3;19 reviews;58,374;30
764829324.html;19195;;;Good Deal;4.8;1086;4.7;80 reviews;41,151;38
744816207.html;52113;62460;;;5;99;4.6;18 reviews;2;32
766758088.html;25995;;;Good Deal;4.8;1086;4.8;145 reviews;26,861;39
757418297.html;58331;65085;;;-1;-1;5;1 reviews;3;24
